eid,bid,ans
20130702_135652,17571,10
20130702_135652,11746,20
20130702_135652,9663,20
20130702_135652,10021,20
20130702_135652,2378,10
20130702_135652,17675,20
20130702_135704,8987,20
20130702_135704,60028,20
20130702_135704,47456,20
20130702_135704,16461,15
20130702_135652,9903,20
20130702_135704,7713,20
20130702_135652,150,10
20130702_135704,8975,05
20130702_135704,2458,10
20130702_135652,16644,20
20130702_135652,4554,20
20130702_135652,8583,20
20130702_135652,10721,20
20130702_135704,1292,10
20130702_135652,2383,10
20130702_135704,16568,15
20130702_135704,30820,10
20130702_135652,12527,10
20130702_135704,74419,20
20130702_135652,9701,20
20130702_135704,30910,10
20130702_135652,4098,20
20130702_135704,42433,20
20130702_135704,2464,10
20130702_135704,12631,20
20130702_135652,2335,10
20130702_135652,12559,10
20130702_135704,6328,10
20130702_135704,17069,20
20130702_135704,334,10
20130702_135704,53830,20
20130702_135652,5577,20
20130702_135652,13224,05
20130702_135704,43086,20
20130702_135652,9357,20
20130702_135704,7541,20
20130702_135652,17487,10
20130702_135652,9576,20
20130702_135704,16778,20
20130702_135652,9951,20
20130702_135652,18430,10
20130702_135652,16952,10
20130702_135652,10632,10
20130702_135704,520,10
20130702_135652,13383,05
20130702_135652,14873,05
20130702_135704,80930,20
20130702_135704,80890,20
20130702_135704,4479,20
20130702_135652,2299,10
20130702_135652,12892,10
20130702_135652,2325,10
20130702_135704,47384,20
20130702_135652,17421,20
20130702_135652,2492,20
20130702_135704,3918,10
20130702_135652,9296,20
20130702_135704,30287,20
20130702_135652,12154,05
20130702_135652,9430,20
20130702_135652,17877,10
20130702_135652,12571,20
20130702_135652,2023,10
20130702_135652,659,20
20130702_135652,3759,20
20130702_135652,797,10
20130702_135652,12570,10
20130702_135704,59290,20
20130702_135652,992,30
20130702_135704,34153,10
20130702_135652,13976,20
20130702_135652,8307,20
20130702_135652,12158,05
20130702_135704,1694,10
20130702_135704,16809,20
20130702_135652,7547,20
20130702_135652,10511,30
20130702_135652,2918,30
20130702_135652,4455,20
20130702_135704,17158,20
20130702_135652,1690,20
20130702_135704,84980,20
20130702_135704,13353,20
20130702_135704,4549,20
20130702_135704,33406,20
20130702_135704,5769,20
